4.7816090813e+04 3.0529520000e-01 3.0529520000e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
4.7816098352e+04 4.0248900000e-01 3.5389210000e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
4.7816542360e+04 1.9863280000e-01 3.0213900000e-01 8.0855402195e-02 4.6681888223e-02 9.1496500917e-02 2.1064249908e-01 3.9363550092e-01
4.7817358849e+04 4.0922420000e-01 3.2891030000e-01 8.0675305311e-02 4.0337652656e-02 7.9061799205e-02 2.4984850079e-01 4.0797209920e-01
4.7818093504e+04 3.9802430000e-01 3.4273310000e-01 7.5137592886e-02 3.3602553072e-02 6.5861004021e-02 2.7687209598e-01 4.0859410402e-01
4.7818607106e+04 2.6223200000e-01 3.2931625000e-01 7.3597456555e-02 3.0046035821e-02 5.8890230210e-02 2.7042601979e-01 3.8820648021e-01
4.7819187360e+04 2.6393790000e-01 3.1997648571e-01 7.0973294444e-02 2.6825383832e-02 5.2577752311e-02 2.6739873340e-01 3.7255423803e-01
4.7819974736e+04 4.5316039999e-01 3.3662447500e-01 7.9105601174e-02 2.7968053510e-02 5.4817384880e-02 2.8180709012e-01 3.9144185988e-01
4.7820578831e+04 4.7345950000e-01 3.5182836667e-01 8.5584757373e-02 2.8528252458e-02 5.5915374817e-02 2.9591299185e-01 4.0774374148e-01
4.7821133647e+04 3.9413489999e-01 3.5605902000e-01 8.1682160567e-02 2.5830167160e-02 5.0627127633e-02 3.0543189237e-01 4.0668614763e-01
4.7821592477e+04 2.3103390000e-01 3.4469310000e-01 8.5420250490e-02 2.5755174579e-02 5.0480142176e-02 2.9421295782e-01 3.9517324218e-01
4.7822170188e+04 2.4442190000e-01 3.3633716667e-01 8.6030971265e-02 2.4835002209e-02 4.8676604330e-02 2.8766056234e-01 3.8501377100e-01
4.7824287048e+04 1.5025054000e+00 4.2604241538e-01 3.2147928464e-01 8.9162311136e-02 1.7475812983e-01 2.5128428556e-01 6.0080054521e-01
4.7824676134e+04 5.7880130000e-01 4.3695376429e-01 3.1136274774e-01 8.3215194645e-02 1.6310178151e-01 2.7385198278e-01 6.0005554579e-01
4.7825058167e+04 2.0138510000e-01 4.2124918667e-01 3.0573659361e-01 7.8940849026e-02 1.5472406409e-01 2.6652512258e-01 5.7597325076e-01
4.7825679809e+04 2.3050180000e-01 4.0932747500e-01 2.9895671119e-01 7.4739177797e-02 1.4648878848e-01 2.6283868652e-01 5.5581626348e-01
4.7826153905e+04 1.5275400000e-01 3.9423491765e-01 2.9569195976e-01 7.1715834278e-02 1.4056303519e-01 2.5367188246e-01 5.3479795283e-01
4.7826714534e+04 1.5370730000e-01 3.8087227222e-01 2.9210631482e-01 6.8850118678e-02 1.3494623261e-01 2.4592603961e-01 5.1581850483e-01
4.7827274118e+04 1.6525490000e-01 3.6952398947e-01 2.8793031049e-01 6.6055743484e-02 1.2946925723e-01 2.4005473224e-01 4.9899324670e-01
4.7827844943e+04 1.7043330000e-01 3.5956945500e-01 2.8358995897e-01 6.3412642598e-02 1.2428877949e-01 2.3528067551e-01 4.8385823449e-01
4.7828464535e+04 2.2652210000e-01 3.5323386667e-01 2.7785768871e-01 6.0633518616e-02 1.1884169649e-01 2.3439217018e-01 4.7207556315e-01
4.7829088645e+04 2.4721620000e-01 3.4841488182e-01 2.7205908643e-01 5.8003192118e-02 1.1368625655e-01 2.3472862527e-01 4.6210113837e-01
4.7829661299e+04 1.5485430000e-01 3.3999920435e-01 2.6871899080e-01 5.6031782912e-02 1.0982229451e-01 2.3017690984e-01 4.4982149886e-01
4.7830289574e+04 1.9038350000e-01 3.3376521667e-01 2.6450741988e-01 5.3992350991e-02 1.0582500794e-01 2.2794020872e-01 4.3959022461e-01
4.7830908743e+04 1.9534980000e-01 3.2822860000e-01 2.6035495038e-01 5.2070990076e-02 1.0205914055e-01 2.2616945945e-01 4.3028774055e-01
4.7831432425e+04 1.4978660000e-01 3.2136544615e-01 2.5739247114e-01 5.0478816653e-02 9.8938480639e-02 2.2242696551e-01 4.2030392679e-01
4.7831985105e+04 1.4646470000e-01 3.1488764074e-01 2.5454623215e-01 4.8987445218e-02 9.6015392628e-02 2.1887224811e-01 4.1090303337e-01
4.7832663405e+04 2.7160640000e-01 3.1334188214e-01 2.4991704123e-01 4.7229881391e-02 9.2570567527e-02 2.2077131462e-01 4.0591244967e-01
4.7833126079e+04 1.6622040000e-01 3.0826872759e-01 2.4687749780e-01 4.5844000442e-02 8.9854240866e-02 2.1841448672e-01 3.9812296845e-01
4.7833713947e+04 1.8228370000e-01 3.0406922667e-01 2.4363551665e-01 4.4481556093e-02 8.7183849942e-02 2.1688537672e-01 3.9125307661e-01
4.7834370137e+04 2.4207880000e-01 3.0206953548e-01 2.3979078190e-01 4.3067695807e-02 8.4412683782e-02 2.1765685170e-01 3.8648221927e-01
4.7834899188e+04 1.8813590000e-01 2.9850910938e-01 2.3672297802e-01 4.1847105754e-02 8.2020327278e-02 2.1648878210e-01 3.8052943665e-01
4.7835433883e+04 1.6366400000e-01 2.9442289394e-01 2.3413862789e-01 4.0758303512e-02 7.9886274884e-02 2.1453661906e-01 3.7430916882e-01
4.7836025480e+04 1.9223700000e-01 2.9141742647e-01 2.3120930196e-01 3.9652068157e-02 7.7718053588e-02 2.1369937288e-01 3.6913548006e-01
4.7836594342e+04 1.8190830000e-01 2.8828859429e-01 2.2851324008e-01 3.8625787423e-02 7.5706543348e-02 2.1258205094e-01 3.6399513763e-01
4.7837298182e+04 2.8521160000e-01 2.8820312222e-01 2.2522567600e-01 3.7537612666e-02 7.3573720826e-02 2.1462940140e-01 3.6177684305e-01
4.7837774519e+04 1.5959040000e-01 2.8472710270e-01 2.2305270764e-01 3.6669639251e-02 7.1872492933e-02 2.1285460977e-01 3.5659959564e-01
4.7838724688e+04 5.2134090000e-01 2.9095378158e-01 2.2325410309e-01 3.6216597876e-02 7.0984531837e-02 2.1996924974e-01 3.6193831342e-01
4.7839116426e+04 3.2324790000e-01 2.9178183590e-01 2.2035609407e-01 3.5285214523e-02 6.9159020466e-02 2.2262281543e-01 3.6094085636e-01
4.7839727800e+04 2.6742180000e-01 2.9117283500e-01 2.1754591752e-01 3.4397029752e-02 6.7418178315e-02 2.2375465669e-01 3.5859101331e-01
4.7839744791e+04 2.2181590000e-01 2.8948120244e-01 2.1507565042e-01 3.3589173417e-02 6.5834779898e-02 2.2364642254e-01 3.5531598234e-01
4.7840225768e+04 1.7348350000e-01 2.8671935238e-01 2.1317139414e-01 3.2893060232e-02 6.4470398054e-02 2.2224895433e-01 3.5118975044e-01
4.7840711390e+04 1.2538070000e-01 2.8296729070e-01 2.1201736834e-01 3.2332345557e-02 6.3371397292e-02 2.1959589341e-01 3.4633868799e-01
4.7841386815e+04 2.5411490000e-01 2.8231155455e-01 2.0958166302e-01 3.1595624508e-02 6.1927424035e-02 2.2038413051e-01 3.4423897858e-01
4.7841830603e+04 1.4859729999e-01 2.7934012667e-01 2.0812179815e-01 3.1024965884e-02 6.0808933133e-02 2.1853119353e-01 3.4014905980e-01
4.7842424530e+04 1.8487650000e-01 2.7728656956e-01 2.0625688767e-01 3.0410918989e-02 5.9605401218e-02 2.1768116835e-01 3.3689197078e-01
4.7842964348e+04 1.3956360000e-01 2.7435629362e-01 2.0496843539e-01 2.9897719086e-02 5.8599529408e-02 2.1575676421e-01 3.3295582302e-01
4.7843797469e+04 3.2487260000e-01 2.7540871667e-01 2.0290451654e-01 2.9286744310e-02 5.7402018849e-02 2.1800669782e-01 3.3281073551e-01
4.7844326089e+04 2.7943390000e-01 2.7549086326e-01 2.0078060998e-01 2.8682944283e-02 5.6218570795e-02 2.1927229247e-01 3.3170943406e-01
4.7844930379e+04 2.8733360000e-01 2.7572771800e-01 1.9872818361e-01 2.8104409249e-02 5.5084642127e-02 2.2064307587e-01 3.3081236013e-01
4.7845381320e+04 1.2598860000e-01 2.7279165686e-01 1.9782329461e-01 2.7700801960e-02 5.4293571842e-02 2.1849808502e-01 3.2708522870e-01
4.7846374636e+04 2.6520089999e-01 2.7264568077e-01 1.9587702321e-01 2.7163255803e-02 5.3239981374e-02 2.1940569939e-01 3.2588566214e-01
4.7846856217e+04 1.7483130001e-01 2.7080012641e-01 1.9444043160e-01 2.6708447339e-02 5.2348556785e-02 2.1845156963e-01 3.2314868320e-01
4.7847413066e+04 1.7008590000e-01 2.6893504815e-01 1.9307537824e-01 2.6274231032e-02 5.1497492822e-02 2.1743755533e-01 3.2043254097e-01
4.7847978447e+04 1.9824970000e-01 2.6764986000e-01 1.9151229393e-01 2.5823512446e-02 5.0614084394e-02 2.1703577561e-01 3.1826394439e-01
4.7848530680e+04 1.9285350000e-01 2.6631421071e-01 1.9002163739e-01 2.5392709400e-02 4.9769710424e-02 2.1654450029e-01 3.1608392114e-01
4.7849064075e+04 1.8316190000e-01 2.6485539825e-01 1.8863352958e-01 2.4985121355e-02 4.8970837857e-02 2.1588456039e-01 3.1382623610e-01
4.7849606512e+04 1.6967090000e-01 2.6321428621e-01 1.8738160894e-01 2.4604410654e-02 4.8224644881e-02 2.1498964133e-01 3.1143893109e-01
4.7850151352e+04 1.7330520000e-01 2.6169040339e-01 1.8612140940e-01 2.4230943601e-02 4.7492649457e-02 2.1419775393e-01 3.0918305285e-01
4.7850721124e+04 2.0174520000e-01 2.6069131667e-01 1.8469686704e-01 2.3844263004e-02 4.6734755489e-02 2.1395656118e-01 3.0742607216e-01
4.7851264883e+04 1.8706800000e-01 2.5948437705e-01 1.8338971075e-01 2.3480646376e-02 4.6022066898e-02 2.1346231015e-01 3.0550644395e-01
4.7851834130e+04 2.1212820000e-01 2.5872056774e-01 1.8197811115e-01 2.3111243228e-02 4.5298036727e-02 2.1342253101e-01 3.0401860447e-01
4.7852361249e+04 1.8633040000e-01 2.5757151746e-01 1.8073118990e-01 2.2769989649e-02 4.4629179712e-02 2.1294233775e-01 3.0220069717e-01
4.7852983203e+04 2.5058420000e-01 2.5746234062e-01 1.7929317195e-01 2.2411646493e-02 4.3926827127e-02 2.1353551350e-01 3.0138916775e-01
4.7853560063e+04 2.6651220000e-01 2.5760156923e-01 1.7789041633e-01 2.2064590576e-02 4.3246597529e-02 2.1435497170e-01 3.0084816676e-01
4.7854720356e+04 7.2190940000e-01 2.6463653636e-01 1.8540510681e-01 2.2821791033e-02 4.4730710424e-02 2.1990582594e-01 3.0936724679e-01
4.7854983535e+04 3.0425640000e-01 2.6522787761e-01 1.8405786770e-01 2.2486247426e-02 4.4073044955e-02 2.2115483266e-01 3.0930092257e-01
4.7855395961e+04 1.7046070000e-01 2.6383424265e-01 1.8303495833e-01 2.2196249011e-02 4.3504648062e-02 2.2032959458e-01 3.0733889071e-01
4.7855966736e+04 1.9197460000e-01 2.6279279855e-01 1.8188698606e-01 2.1896619982e-02 4.2917375164e-02 2.1987542339e-01 3.0571017371e-01
4.7856537888e+04 2.0037070000e-01 2.6190105429e-01 1.8071602881e-01 2.1599696780e-02 4.2335405690e-02 2.1956564860e-01 3.0423645998e-01
4.7857078466e+04 1.9104080000e-01 2.6090302253e-01 1.7961475687e-01 2.1316349900e-02 4.1780045803e-02 2.1912297673e-01 3.0268306834e-01
4.7857617528e+04 1.7393340000e-01 2.5969511111e-01 1.7863556942e-01 2.1052403750e-02 4.1262711350e-02 2.1843239976e-01 3.0095782246e-01
4.7858515005e+04 2.0878950000e-01 2.5899777397e-01 1.7748936603e-01 2.0773559015e-02 4.0716175670e-02 2.1828159830e-01 2.9971394964e-01
4.7859058039e+04 1.9120310000e-01 2.5808162973e-01 1.7644320525e-01 2.0511105983e-02 4.0201767727e-02 2.1787986200e-01 2.9828339746e-01
4.7859616657e+04 1.8960720000e-01 2.5716863733e-01 1.7542286707e-01 2.0256087904e-02 3.9701932293e-02 2.1746670504e-01 2.9687056963e-01
4.7860182829e+04 2.0503950000e-01 2.5648272763e-01 1.7435067709e-01 1.9999394268e-02 3.9198812764e-02 2.1728391487e-01 2.9568154040e-01
4.7860748285e+04 2.1215240000e-01 2.5590700909e-01 1.7327254015e-01 1.9746238560e-02 3.8702627578e-02 2.1720438151e-01 2.9460963667e-01
4.7861257000e+04 1.7274130000e-01 2.5484078205e-01 1.7239778398e-01 1.9520205154e-02 3.8259602101e-02 2.1658117995e-01 2.9310038415e-01
4.7861828504e+04 1.9179790000e-01 2.5404277089e-01 1.7143403867e-01 1.9287836271e-02 3.7804159091e-02 2.1623861179e-01 2.9184692998e-01
4.7862390829e+04 2.0388180000e-01 2.5341575875e-01 1.7043669610e-01 1.9055401917e-02 3.7348587758e-02 2.1606717099e-01 2.9076434651e-01
4.7862958002e+04 2.1383180000e-01 2.5292706790e-01 1.6942450984e-01 1.8824945538e-02 3.6896893255e-02 2.1603017465e-01 2.8982396116e-01
4.7863608126e+04 2.7940670000e-01 2.5324999024e-01 1.6840051231e-01 1.8596725566e-02 3.6449582110e-02 2.1680040813e-01 2.8969957235e-01
4.7864311269e+04 2.6788280000e-01 2.5342628916e-01 1.6737814377e-01 1.8372138090e-02 3.6009390656e-02 2.1741689850e-01 2.8943567981e-01
4.7864961750e+04 3.2104900000e-01 2.5423132143e-01 1.6652836978e-01 1.8169734759e-02 3.5612680128e-02 2.1861864130e-01 2.8984400156e-01
4.7865880346e+04 6.6150620000e-01 2.5902279059e-01 1.7126016911e-01 1.8575773446e-02 3.6408515954e-02 2.2261427463e-01 2.9543130654e-01
4.7866066137e+04 2.1562030000e-01 2.5851811046e-01 1.7031334603e-01 1.8365360416e-02 3.5996106416e-02 2.2252200405e-01 2.9451421688e-01
4.7866607557e+04 2.0435010000e-01 2.5789548965e-01 1.6941867621e-01 1.8163588640e-02 3.5600633734e-02 2.2229485592e-01 2.9349612339e-01
4.7867154730e+04 1.9471950000e-01 2.5717758068e-01 1.6857523873e-01 1.7970180828e-02 3.5221554424e-02 2.2195602626e-01 2.9239913511e-01
4.7867714526e+04 1.8791410000e-01 2.5639933933e-01 1.6777360269e-01 1.7783966317e-02 3.4856573981e-02 2.2154276534e-01 2.9125591331e-01
4.7868314130e+04 2.2592090000e-01 2.5606069000e-01 1.6685897974e-01 1.7588480801e-02 3.4473422370e-02 2.2158726763e-01 2.9053411237e-01
4.7868813062e+04 1.7074000000e-01 2.5512310000e-01 1.6616762986e-01 1.7419100674e-02 3.4141437321e-02 2.2098166268e-01 2.8926453732e-01
4.7869390379e+04 1.9294050000e-01 2.5444720217e-01 1.6537783525e-01 1.7241831208e-02 3.3793989167e-02 2.2065321301e-01 2.8824119134e-01
4.7869996406e+04 2.3562350000e-01 2.5424479677e-01 1.6448804425e-01 1.7056615624e-02 3.3430966624e-02 2.2081383015e-01 2.8767576340e-01
4.7870543453e+04 2.1255660000e-01 2.5380130532e-01 1.6365720344e-01 1.6879951673e-02 3.3084705279e-02 2.2071660004e-01 2.8688601060e-01
4.7871133595e+04 2.0962170000e-01 2.5333625684e-01 1.6284678952e-01 1.6707728076e-02 3.2747147028e-02 2.2058910981e-01 2.8608340387e-01
4.7871660162e+04 1.8503570000e-01 2.5262479271e-01 1.6213579461e-01 1.6547915244e-02 3.2433913877e-02 2.2019087883e-01 2.8505870659e-01
4.7872225551e+04 1.8681630000e-01 2.5194635464e-01 1.6142604841e-01 1.6390331920e-02 3.2125050564e-02 2.1982130407e-01 2.8407140520e-01
4.7872790750e+04 2.0521160000e-01 2.5146946939e-01 1.6066046751e-01 1.6229158006e-02 3.1809149692e-02 2.1966031969e-01 2.8327861908e-01
4.7873649819e+04 4.3712820000e-01 2.5334481010e-01 1.6091319624e-01 1.6172384720e-02 3.1697874050e-02 2.2164693605e-01 2.8504268415e-01
4.7874134135e+04 3.4575320000e-01 2.5426889400e-01 1.6036224578e-01 1.6036224578e-02 3.1431000172e-02 2.2283789383e-01 2.8569989417e-01
4.7874848084e+04 4.4151620000e-01 2.5612282772e-01 1.6063186607e-01 1.5983468067e-02 3.1327597412e-02 2.2479523031e-01 2.8745042513e-01
4.7875349277e+04 2.0357790000e-01 2.5560768137e-01 1.5991850455e-01 1.5834291436e-02 3.1035211214e-02 2.2457247016e-01 2.8664289259e-01
